gene_name	regulator	sign
rapC	codY	-1
ydaB	tnrA	0
yjzE	sigB	1
cydD	sigA	1
cydD	rex	-1
cydD	resD	1
cydD	ccpA	-1
xylA	sigA	1
xylA	xylR	-1
xylA	ccpA	-1
xylA	ccpB	-1
ylxP	sigB	1
ylxP	sigA	1
ylxP	stringent response	-1
ymfI	sigK	1
ydeC	sigB	1
lysS	sigA	1
sinI	sigA	1
sinI	sigH	1
sinI	spo0A	-1
sinI	scoC	-1
sinI	abrB	-1
sinI	sinR	-1
sqhC	sigE	1
spoIVCB	sigK	1
spoIVCB	sigE	1
spoIVCB	spoIIID	1
spoIVCB	gerE	-1
tpx	spx	1
yphF	abrB	-1
etfB	sigA	1
etfB	fadR	-1
etfB	ccpA	-1
appC	scoC	-1
appC	codY	-1
appC	tnrA	0
yncM	abrB	-1
ykzE	spoVT	1
yhaR	sigH	1
yhaR	ccpA	-1
rpsP	stringent response	-1
rapA	sigA	1
rapA	spo0A	-1
rapA	comA	1
rapA	codY	-1
xre	xre	-1
sspE	sigE	1
sspE	sigG	1
sspE	sigA	1
sspE	yfhP	-1
sspE	spoVT	-1
sspE	rsfA	1
yydG	sigA	1
yydG	abrB	-1
yydG	rok	-1
sunT	yvrHb	1
sunT	rok	-1
sunT	abrB	-1
sunT	abh	1
bkdB	sigL	1
bkdB	codY	-1
bkdB	bkdR	1
bkdB	tnrA	-1
spsD	sigK	1
yycP	sigK	1
yycP	sigE	1
yycP	phoP	1
iolI	sigA	1
iolI	iolR	-1
iolI	ccpA	-1
yitI	S-box-SAM	-1
ytlD	sigK	1
xtmB	xpf	1
ccdA	sigA	1
ccdA	sigH	1
ybdO	sigD	1
ybdO	abrB	-1
yabJ	purR	-1
ydaP	sigB	1
yngC	sigM	1
yngC	yclJ	1
gmuG	sigA	1
gmuG	gmuR	-1
gmuG	ccpA	-1
gmuG	abrB	1
yclA	bsdA	0
ctaF	sigA	1
ctaF	resD	1
ctaF	ccpA	-1
ctaF	abrB	-1
ctaF	abh	-1
sspB	sigG	1
sspB	spoVT	1
thrB	codY	0
lytD	sigD	1
lytD	sigG	1
ydaG	sigB	1
lrgB.1	ywbI	0
yulD	rhaR	0
fusA	stringent response	-1
alkA	sigA	1
alkA	sigE	1
alkA	adaA	1
clpX	sigA	1
clpX	ctsR	-1
sdpR	sigA	1
sdpR	sdpR	-1
sdpR	abrB	-1
yfhD	sigB	1
yfhD	sigF	1
yfhD	sigG	1
yfhD	spoVT	1
ptsH	sigA	1
ptsH	stringent response	-1
ptsH	glcT	1
spo0B	sigA	1
ntdC	sigA	1
ntdC	sigE	1
ntdC	ntdR	1
ntdC	gerR	-1
purB	sigA	1
purB	purR	-1
purB	G-box-HXTX	1
purB	G-box-GUA	1
cotB	sigK	1
cotB	sigE	1
cotB	gerR	1
cotB	gerE	1
ilvE	codY	-1
atpD	stringent response	-1
clpY	sigA	1
clpY	codY	-1
ribH	sigK	1
ribH	sigA	1
ribH	FMN-box	-1
yqdB	sigA	1
yqdB	ratA	-1
racX	sigW	1
racX	abrB	-1
mlpA	sigE	1
mlpA	spoIIID	-1
yjbO	sigG	1
yerI	abrB	-1
disA	sigM	1
disA	sigF	1
disA	sigB	1
disA	sigA	1
disA	ctsR	-1
abfA	sigA	1
abfA	ccpA	-1
abfA	araR	-1
ylmG	spo0A	-1
aspS	T-box-HIS	1
aspS	T-box-ASP	1
yxiO	phoP	1
yfhL	sigW	1
yfhL	sigB	1
radC	sigM	1
radC	comK	1
rplNA	stringent response	-1
yjaU	sigK	1
yxkC	sigD	1
yxkC	tnrA	1
cotSA	sigK	1
gerPC	sigK	1
gerPC	gerE	-1
spo0A	sigH	1
spo0A	sigA	1
spo0A	spo0A	-1
spo0A	sinR	-1
spxA	sigX	1
spxA	sigW	1
spxA	sigM	1
spxA	sigB	1
spxA	sigA	1
spxA	perR	-1
spxA	yodB	-1
fliL	sigD	1
fliL	sigA	1
fliL	spo0A	-1
fliL	codY	-1
bacD	sigH	1
bacD	scoC	-1
bacD	codY	-1
bacD	abrB	-1
yfkJ	sigB	1
yfkJ	sigA	1
bipA	stringent response	-1
ald	sigA	1
ald	adeR	1
ytcQ	ccpA	0
ytcQ	rmgR	0
yjdF	manR	1
yesP	yesS	0
yesP	ccpA	0
nasA	sigA	1
nasA	tnrA	1
nasA	glnR	-1
nasA	T-O2	1
ybgB	sigY	1
hrcA	sigA	1
hrcA	hrcA	-1
hrcA	arfM	0
fliY	sigD	1
fliY	sigA	1
fliY	spo0A	-1
fliY	codY	-1
pucL	sigA	1
pucL	tnrA	1
pucL	pucR	1
gutB	sigA	1
gutB	gutR	1
treA	sigA	1
treA	treR	-1
treA	phoP	1
treA	ccpA	-1
ylbC	sigF	1
ylbC	ccpA	0
acoL	sigL	1
acoL	sigK	1
acoL	ccpA	-1
acoL	acoR	1
cheY	sigD	1
cheY	sigA	1
cheY	spo0A	-1
cheY	codY	-1
mapA	stringent response	-1
pdhC	sigA	1
pdhC	stringent response	-1
prpB	sigE	1
prpB	ccpA	-1
prpB	spoIIID	-1
trmU	sigA	1
trmU	stringent response	-1
ntdA	sigA	1
ntdA	sigE	1
ntdA	ntdR	1
ntdA	gerR	-1
yddJ	abrB	-1
dltE	sigX	1
dltE	sigM	1
dltE	sigD	1
dltE	yvrHb	1
dltE	stringent response	-1
dltE	spo0A	-1
oppA	tnrA	1
oppA	scoC	-1
oppA	codY	0
aag	sigB	1
nprE	scoC	-1
nprE	abrB	-1
nprE	tenA	1
nprE	paiB	-1
nprE	degU	1
yraF	sigG	1
dnaK	sigA	1
dnaK	hrcA	-1
dnaK	arfM	0
ysnE	sigE	1
ysnE	tnrA	0
fadB	sigA	1
fadB	fadR	-1
fadB	ccpA	-1
ycsI	sigK	1
ycsI	tnrA	1
ycsI	kipR	-1
galE	sigA	1
mccB	sigK	1
mccB	sigA	1
mccB	spx	1
mccB	cymR	-1
ytpP	spx	1
ydaD	sigB	1
ydaK	sigB	1
pucK	sigA	1
pucK	tnrA	1
pucK	pucR	1
ylmE	spo0A	-1
spoIVCA	sigE	1
spoIVCA	spoIIID	1
spoIVCA	gerR	-1
ytrC	sigA	1
ytrC	ytrA	-1
xkdK	xpf	1
spoVAEB	sigG	1
spoVAEB	spoVT	1
ylzI	sigD	1
ylzI	sigA	1
ylzI	spo0A	-1
ylzI	codY	-1
lytE	sigI	1
lytE	sigH	1
lytE	sigA	1
lytE	walR	1
lytE	spo0A	-1
yesZ	yesS	1
yesZ	ccpA	0
ydjP	sigW	1
ydjP	sigE	1
appD	scoC	-1
appD	codY	-1
appD	tnrA	0
spoIIQ	sigF	1
spoIIQ	codY	0
mtnA	sigA	1
mtnA	S-box-SAM	-1
mecA	sigA	1
yocN	sigE	1
hemD	sigA	1
hemD	perR	-1
gerBA	sigG	1
gerBA	spoVT	-1
glyS	T-box-GLY	1
mtnB	sigA	1
mtnB	S-box-SAM	-1
levB	sigA	1
levB	sacY	1
levB	degU	1
levB	tenA	1
levB	sacT	1
ypjB	sigE	1
ypjB	spoIIID	-1
yqzL	tnrA	0
bltD	sigA	1
bltD	mta	1
bltD	bltR	1
ypfB	sigF	1
yhdA	sigA	1
yhdA	sigE	1
yhdA	liaR	1
ylxL	sigD	1
ylxL	sigA	1
ylxL	spo0A	-1
ylxL	codY	-1
ycbJ	ycbG	-1
ycbJ	abrB	-1
ykvU	sigE	1
ykvU	sigG	1
ykvU	spoIIID	-1
yfhA	fur	-1
guaC	sigK	1
guaC	sigA	1
guaC	purR	-1
guaC	codY	1
tcyL	sigA	1
tcyL	ytlI	1
tcyL	cymR	-1
tcyL	spx	-1
gmuF	sigA	1
gmuF	gmuR	-1
gmuF	ccpA	-1
gmuF	abrB	1
adhA	adhR	1
mntH	mntR	-1
ycbC	ycbG	-1
rtpA	sigA	1
rtpA	T-box-TRP	1
rtpA	TRAP	-1
alsD	sigA	1
alsD	stringent response	1
alsD	rex	-1
alsD	alsR	1
alsD	ccpA	1
alsD	arfM	1
sspF	sigG	1
bglP	sigA	1
bglP	licT	1
bglP	ccpA	-1
sigA	sigH	1
sigA	sigD	1
sigA	sigB	1
sigA	spo0A	-1
comEC	sigA	1
comEC	comN	0
comEC	comK	1
galK	ccpA	-1
yfmP	sigA	1
yfmP	yfmP	-1
yocB	sigB	1
racE	sigK	1
gudD	ycbG	-1
lepA	sigA	1
lepA	arfM	0
prs	sigA	1
prs	stringent response	-1
yoaD	S-box-SAM	-1
infB	sigA	1
infB	stringent response	-1
bdhA	abrB	-1
yvyD	sigH	1
yvyD	sigB	1
minD	sigM	1
minD	sigH	1
ycdA	degU	1
ycdA	abrB	-1
ycdA	abh	-1
xkdG	xpf	1
spoVS	sigH	1
spoVS	codY	0
yqeW	sigE	1
yqeW	spoIIID	-1
araD	sigA	1
araD	ccpA	-1
araD	araR	-1
glcD	ccpA	0
ywdK	tnrA	-1
glpP	ccpA	-1
msrA	spx	1
oppF	tnrA	1
oppF	scoC	-1
oppF	codY	0
exoAA	sigG	1
spsC	sigK	1
spoVD	sigE	1
spoVD	spoIIID	-1
thiQ	Thi-box	-1
spoIIAA	sigH	1
spoIIAA	sigG	1
spoIIAA	sigF	1
spoIIAA	spo0A	1
spoIIAA	sinR	-1
spoIIAA	abrB	-1
spoIIAA	spoVT	-1
