SampleID,ConditionID,experimentID,condition_coarse,condition,annotation,type,medium,experiment,laboratory
GM+15_3,GM+15,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 15 min after malate addition (E20_5),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+25_3,GM+25,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 25 min after malate addition (E20_6),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+45_3,GM+45,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 45 min after malate addition (E20_7),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+60_3,GM+60,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 60 min after malate addition (E20_8),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+90_3,GM+90,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 90 min after malate addition (E20_9),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+120_3,GM+120,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 120 min after malate addition (E20_10),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+150_3,GM+150,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 150 min after malate addition (E20_11),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+5_1,MG+5,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 5 min after glucose addition (E20_14),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+10_1,MG+10,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 10 min after glucose addition (E20_15),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+15_1,MG+15,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 15 min after glucose addition (E20_16),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+25_1,MG+25,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 25 min after glucose addition (E20_17),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+45_1,MG+45,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 45 min after glucose addition (E20_18),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+120_1,MG+120,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 120 min after glucose addition (E20_21),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+150_1,MG+150,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 150 min after glucose addition (E20_22),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+5_2,MG+5,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 5 min after glucose addition (E20_14),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+10_2,MG+10,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 10 min after glucose addition (E20_15),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+15_2,MG+15,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 15 min after glucose addition (E20_16),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+25_2,MG+25,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 25 min after glucose addition (E20_17),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+45_2,MG+45,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 45 min after glucose addition (E20_18),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+60_2,MG+60,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 60 min after glucose addition (E20_19),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+90_2,MG+90,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 90 min after glucose addition (E20_20),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+120_2,MG+120,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 120 min after glucose addition (E20_21),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+5_3,MG+5,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 5 min after glucose addition (E20_14),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+10_3,MG+10,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 10 min after glucose addition (E20_15),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+15_3,MG+15,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 15 min after glucose addition (E20_16),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+25_3,MG+25,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 25 min after glucose addition (E20_17),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+45_3,MG+45,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 45 min after glucose addition (E20_18),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
MG+60_3,MG+60,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 60 min after glucose addition (E20_19),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
