PanelName,perfermance_f1score,frequency_score,effectSize_score,pairwise_distance_GRN,n_regulators_GRN,closeness_centrality_GRN,pairwise_distance_CEN,n_modules_CEN,betweenness_centrality_CEN
panel290,0.950345849802372,0.295574288724974,0.829888673262068,6.2,11,0.28915768346768,0.106755395894308,4,0.0120266155434026
panel291,0.944911067193676,0.300918259822369,0.789844068897259,7,9,0.280514551163772,0.103096254624856,3,0.0135920542331811
panel292,0.922183794466403,0.287846856340007,0.789141104532942,7,9,0.280514551163772,0.108402406175531,3,0.0142675004553458
panel293,0.91699604743083,0.288303477344573,0.70932268054652,8.66666666666667,6,0.249667918379681,0.0966615490968596,3,0.0168746001130192
panel294,0.961462450592885,0.226870389884089,1.04970771299422,6.8,9,0.253020863681981,0.111663107411769,5,0.0101640645797042
panel295,0.961462450592885,0.251258634820279,1.02038368580037,7.66666666666667,8,0.246268330581725,0.11250156215909,5,0.0110675743484923
panel296,0.938982213438735,0.235247629083246,0.999944179600718,7.66666666666667,8,0.246268330581725,0.119518692194958,5,0.0112585990295298
panel297,0.950345849802372,0.26569321089869,0.990294220873983,7.66666666666667,8,0.246268330581725,0.124152919228529,5,0.0125157258300358
panel298,0.93354743083004,0.286793115560239,0.974016518206751,7.66666666666667,8,0.246268330581725,0.114634899248547,4,0.0143573242170777
panel299,0.916749011857708,0.29567966280295,0.96426214598534,9.33333333333333,6,0.203460554854166,0.122626821349273,4,0.0168001880539067
panel300,0.961215415019763,0.129399367755532,0.945991155876417,2,13,0.3801202211,0.109324978944826,5,0.00582023727795083
panel301,0.944416996047431,0.122351012761972,0.941783439266632,2,10,0.382226214755109,0.11364333728412,5,0.00642514055178739
panel302,0.938735177865613,0.137381454162276,0.901727514701181,2,10,0.382226214755109,0.0898908916089129,4,0.00722524748236605
panel303,0.944664031620553,0.146771037181996,0.899817724696224,2,7,0.382806885500634,0.0956589363811307,4,0.00611615531171114
panel304,0.91699604743083,0.16754478398314,0.751231234123263,2,7,0.382806885500634,0.101640349396088,4,0.00398862128568886
panel305,0.900444664031621,0.183140147523709,0.638463559944389,13,3,0.373802240134671,0.099712648246194,3,0.00478067901782309
panel306,0.922430830039526,0.201685985247629,1.02383132232779,5.86666666666667,15,0.284903235030703,0.107046041516074,5,0.0105603165781661
panel307,0.927865612648221,0.208640674394099,1.00755361966056,5.86666666666667,15,0.284903235030703,0.0984435109928241,4,0.0115707811415419
panel308,0.927865612648221,0.229452054794521,1.00755361966056,5.86666666666667,15,0.284903235030703,0.100704565077122,3,0.0121142598724409
panel309,0.922430830039526,0.261779316573837,0.97982143300437,6.3,10,0.28445404810463,0.0896840677477704,3,0.0134032441967601
panel310,0.916749011857708,0.265015806111697,0.948794804251212,7.33333333333333,8,0.263660734518148,0.0873781915064557,3,0.0151385470552491
panel311,0.901185770750988,0.0182297154899895,0.867471039470709,3.06666666666667,17,0.331287767202965,0.153947122296254,8,0.00286371228997663
panel312,0.912055335968379,0.019669827889006,0.867471039470709,3.06666666666667,17,0.331287767202965,0.15285642277369,8,0.00315872445069215
panel313,0.900938735177866,0.0212065331928346,0.867471039470709,2.6,16,0.346960117833677,0.149898750423802,7,0.00353087555594993
panel314,0.900691699604743,0.0237844347433389,0.809139402448414,2.83333333333333,10,0.338483498429968,0.157211331318583,7,0.00357217914136134
panel315,0.922924901185771,0.235405690200211,1.04301384411861,2.23809523809524,26,0.373747439152415,0.115935829181071,6,0.00421785609205924
panel316,0.927865612648221,0.241657885493502,1.01988509934092,2.26666666666667,21,0.370337369028739,0.120746660515773,5,0.00433375002010786
panel317,0.93354743083004,0.25,1.01988509934092,2.3,14,0.364059758505718,0.127439996660764,5,0.00487309474772288
panel318,0.922183794466403,0.251091374379046,0.986870235326895,2.33333333333333,12,0.363167872519509,0.132302807140099,5,0.00514190441942248
panel319,0.916501976284585,0.249912188268353,0.986870235326895,2,10,0.376313759131574,0.133167956486861,4,0.00582079770350064
panel320,0.950098814229249,0.138145416227608,1.11079956229276,2.33333333333333,7,0.345986695153932,0.146305729210032,7,0.00404907459731089
panel321,0.928112648221344,0.131015103617843,1.11079956229276,2.33333333333333,7,0.345986695153932,0.143204401968383,6,0.00365892155097425
