SMMPr_1,SMMPr_2,SMMPr_3,HiOs_1,HiOs_2,HiOs_3,SMM_1,SMM_2,SMM_3,Salt_1,Salt_2,Salt_3
new_108559_108673,12.8511,13.0175,13.0733,12.8397,12.3853,12.6176,12.9268,12.775,12.6322,14.2452,14.2847,14.3994
BSU00890,13.0758,13.1633,13.357,13.1355,13.0324,12.9878,13.0905,13.0402,12.7984,14.2719,14.2887,14.3954
BSU00900,12.2435,12.2668,12.6141,12.2966,12.1599,12.5778,12.4103,12.3408,12.5217,13.6349,13.9314,13.8091
BSU00910,11.3233,11.3922,11.6249,11.6561,11.4249,11.5382,11.8691,11.6926,11.6829,12.8065,12.5319,12.7787
BSU00920,13.3403,13.3646,13.5541,13.7833,13.6203,13.673,13.7062,13.6617,13.779,13.7953,13.722,13.9447
new_112499_112799,12.9837,12.5949,12.7002,13.6548,13.607,13.0241,13.1372,13.4346,13.7302,13.0652,13.7814,13.7254
BSU00930,11.3225,11.4661,11.6778,11.6413,11.2906,11.3793,11.8002,11.6184,11.6693,11.5601,11.3089,11.6768
BSU00940,11.4897,11.6758,11.871,11.8529,11.5747,11.7101,11.9646,11.8421,11.9272,11.7651,11.6398,11.9233
BSU00950,11.5972,11.9498,12.168,12.1295,11.7126,11.9199,12.1545,11.943,11.9786,12.0241,11.7465,12.141
BSU00960,11.8397,11.9605,11.9822,12.0216,11.562,11.825,12.2484,12.1236,12.116,12.048,11.8736,12.1278
BSU00970,12.1504,12.2798,12.3752,12.4207,12.1161,12.2534,12.7143,12.4364,12.282,12.3521,12.3693,12.4969
BSU00980,14.5725,14.7435,14.7326,15.0731,14.6126,14.9053,14.8214,14.7264,14.8308,14.7045,14.5617,14.7798
new_117257_117348,14.5564,14.472,14.8242,15.1377,15.0513,15.2549,14.6575,14.8548,14.8524,14.551,14.6005,14.8666
BSU00990,13.8349,13.8466,13.9184,14.2,14.3263,14.373,13.8147,13.9514,14.0443,13.8139,13.3989,13.8332
BSU01000,13.3739,13.3279,13.5214,13.6281,13.7001,13.789,13.5745,13.6095,13.5787,13.3435,13.2928,13.3963
new_117712_117889,12.9864,12.8315,12.8904,13.3504,12.7187,13.1903,13.4611,13.4536,13.4807,12.6996,12.9079,12.8684
BSU01010,13.1486,12.9113,13.1903,13.3756,12.943,13.1486,13.7379,13.556,13.5538,12.8053,12.5495,12.8383
new_118452_118590,16.4753,16.4646,16.4617,16.4814,16.4586,16.4549,16.4702,16.4821,16.4858,16.4701,16.4261,16.4733
BSU01020,16.4954,16.4629,16.4725,16.4759,16.4656,16.4789,16.4696,16.4855,16.4903,16.4786,16.4402,16.4797
new_119017_119110,15.8541,15.9529,16.3187,15.9877,15.5985,15.8641,16.1742,16.359,16.3617,15.685,15.6657,16.0509
BSU01030,15.9938,16.2489,16.4243,16.0576,15.984,16.1563,16.4099,16.3431,16.3404,16.07,15.9422,16.0458
BSU_misc_RNA_3,16.4944,16.4796,16.4777,16.477,16.4229,16.4793,16.4768,16.4886,16.4938,16.4289,16.4282,16.4661
