LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,G135_1,G135_3,G150_1,G150_2,G150_3,G180_1,G180_2,G180_3
BSU01080,15.6555,15.613,15.3793,15.9262,15.6174,16.2032,16.321,14.8902,15.9441,16.4406,16.2281,16.0617,16.3524,15.4526
new_129162_129283,16.0916,16.1254,15.996,15.7773,15.726,16.3692,16.4229,14.5642,16.039,16.4849,16.4099,16.382,16.4147,15.4019
BSU01090,16.461,16.4712,16.4666,16.2296,16.4632,16.4572,16.465,16.4468,16.4662,16.4863,16.4665,16.4688,16.4877,16.4568
new_129589_129701,16.4269,16.4582,16.4538,16.0517,16.43,16.4327,16.4351,16.4346,16.4595,16.4727,16.4389,16.4612,16.4745,16.4516
BSU01100,16.3351,16.4407,16.4384,16.1928,16.348,16.4354,16.4055,16.3686,16.4468,16.4601,16.4419,16.4534,16.4621,16.4334
BSU01110,16.4877,16.4931,16.48,16.458,16.4882,16.4789,16.4811,16.4684,16.4909,16.4945,16.4878,16.4815,16.5003,16.4862
BSU01120,16.4747,16.4806,16.4693,16.4376,16.4755,16.4705,16.4604,16.4581,16.4796,16.4845,16.4779,16.4678,16.4884,16.4718
new_132763_132881,16.4518,16.4095,16.4491,16.4269,16.4754,16.4573,16.3699,16.4146,16.4783,16.4673,16.474,16.4605,16.4921,16.4183
BSU01130,16.42,16.4205,16.4174,16.2759,16.4282,16.4368,16.3884,16.3655,16.4404,16.4558,16.4483,16.3868,16.4558,16.3201
BSU01140,11.0421,10.619,10.258,11.1507,11.263,11.251,11.6007,9.9803,11.0761,11.8632,11.7245,11.632,12.0928,10.8013
new_135170_135363,16.4685,16.4708,16.4618,16.366,16.466,16.4617,16.4594,16.4151,16.4729,16.4755,16.4639,16.4361,16.476,16.4337
BSU01150,16.4762,16.4811,16.4622,16.4396,16.4722,16.47,16.4655,16.4413,16.4799,16.4849,16.475,16.4628,16.4885,16.4505
BSU01160,16.4211,16.4254,16.3777,16.2897,16.3731,16.4318,16.3729,16.4352,16.4332,16.4475,16.4384,16.4224,16.4516,16.0054
BSU01170,16.4755,16.4633,16.4648,16.4742,16.4748,16.4697,16.4619,16.4586,16.4797,16.4857,16.4693,16.4723,16.4893,16.4778
BSU01180,16.4637,16.4684,16.4618,16.4608,16.4636,16.4625,16.4428,16.4528,16.4705,16.4792,16.4705,16.4698,16.482,16.4113
BSU01190,16.4862,16.4908,16.4779,16.4783,16.4858,16.4775,16.4768,16.4663,16.4894,16.4935,16.4869,16.4809,16.4981,16.4822
BSU01200,16.4672,16.4726,16.4631,16.389,16.4667,16.4648,16.452,16.4426,16.4721,16.4802,16.4729,16.4673,16.4811,16.4272
BSU01210,16.4325,16.4356,16.3842,16.2933,16.4326,16.4388,16.4057,16.3948,16.4437,16.4557,16.4464,16.3574,16.4576,16.3452
BSU01220,16.4746,16.4684,16.459,16.4102,16.4742,16.4692,16.4569,16.3573,16.4785,16.4847,16.4758,16.469,16.4885,16.4369
