T-5.40H_1,T-4.40H_1,T-3.40H_1,T-2.40H_1,T-1.40H_1,T-1.10H_1,T-0.40H_1,T0.0H_1,T0.30H_1,T1.0H_1,T1.30H_1,T2.0H_1,T2.30H_1,T3.0H_1,T3.30H_1,T4.0H_1,T5.0H_1
BSU00750,13.2921,12.9173,12.9002,12.6253,12.6619,12.6456,12.5931,12.4558,12.9087,12.4878,12.2012,11.9841,12.6714,12.1349,12.2967,12.2201,11.4953
BSU00760,13.0568,12.6847,12.6358,12.3845,12.304,12.4268,12.2202,12.0012,12.3147,11.8439,11.4665,11.2337,12.0118,11.4846,11.7635,11.626,10.8308
BSU00770,12.8705,12.5961,12.5417,12.1862,12.0688,12.1972,11.9567,11.8749,11.6735,11.3978,11.1006,10.8185,11.5816,11.1902,11.4376,11.4545,10.6613
BSU00780,13.0428,12.7087,12.6212,12.4001,12.1837,12.3553,12.0339,12.0563,11.7891,11.5943,11.3608,10.9658,11.966,11.4483,11.7717,11.7496,11.0171
BSU00790,13.0518,12.8181,12.8046,12.488,12.2345,12.5962,12.2159,12.1904,11.6643,11.5278,11.2694,11.0769,11.9897,11.4758,11.8319,11.6821,10.95
BSU00800,13.6656,13.3546,13.3521,12.8632,12.9057,13.0596,12.8567,12.706,11.7114,11.494,11.2889,11.1502,12.0373,11.5883,11.8401,12.0339,11.3837
BSU00810,14.0345,13.8701,13.5695,13.4091,13.3757,13.3974,13.2605,13.1628,11.9976,11.7025,11.4174,11.4834,12.3789,11.9778,12.3313,12.392,11.7454
new_88050_89566_c,7.3872,7.5881,7.4733,7.2898,7.343,7.1497,6.9635,6.9382,7.8223,7.3862,7.8061,7.9215,8.0547,8.3016,9.1099,9.3015,9.2362
new_88636_88726,14.1749,14.0193,13.6573,13.6111,13.4674,13.4832,13.2075,13.3258,11.4277,11.4311,11.1098,11.4344,12.2813,11.8914,12.3541,12.3786,11.7037
BSU00820,14.1221,13.9619,13.7104,13.5455,13.3868,13.2752,13.1297,13.1743,11.347,11.303,10.9618,11.2024,12.1944,11.7198,12.124,12.2492,11.5682
new_90318_90535,15.3951,15.0047,15.5848,14.9653,15.1817,15.152,15.504,14.7318,14.591,13.9815,13.7899,12.9185,14.4358,13.508,13.5884,13.8827,13.7452
new_101212_101289,10.0055,10.0797,9.5285,9.3765,9.443,10.1462,10.8474,10.2214,9.0242,9.0027,8.1309,8.7017,9.0219,8.4436,9.0917,8.3451,8.2338
BSU00830,13.6081,13.3001,13.4906,13.2094,13.6261,13.7651,14.1567,13.9986,14.4485,13.0894,12.6597,12.1433,13.4307,13.1695,13.648,13.7603,13.3069
BSU00840,13.128,12.8746,13.0365,12.9018,13.1965,13.3743,13.7373,13.513,13.838,12.6646,12.3283,11.9388,12.9011,12.536,13.0429,13.2998,12.8275
BSU00850,13.2061,12.9561,13.048,13.1401,13.1759,13.367,13.4551,13.4345,13.8285,12.7643,12.38,12.234,13.0669,12.6418,13.1352,13.4008,13.061
BSU00860,13.4624,13.2681,13.3014,13.245,13.2933,13.5146,13.5248,13.4781,13.9636,12.8849,12.5851,12.4733,13.3971,12.9768,13.5094,13.637,13.2125
BSU00870,12.8569,12.7968,12.7502,12.718,13.36,13.6893,13.8266,13.4044,13.4118,12.9164,12.5433,12.2525,12.9985,12.6211,12.9513,12.825,12.3996
BSU00880,13.1787,13.1655,13.0407,12.9575,13.5441,13.9031,14.027,13.5399,13.1807,12.7561,12.4516,12.1601,12.9462,12.4863,12.8964,13.0766,12.2523
new_108559_108673,13.3304,12.9763,13.2775,12.9204,13.4774,13.7953,13.8891,13.6159,13.0902,12.6199,12.3311,11.8394,12.771,12.267,12.7324,12.8725,12.1606
BSU00890,13.535,13.3411,13.4048,13.1753,13.5018,13.9178,13.7966,13.4064,13.4336,12.9267,12.6901,12.4911,13.3009,12.8479,13.312,13.4109,12.8129
BSU00900,12.7703,12.7203,12.8892,12.3923,12.7263,13.094,13.2027,12.6999,12.4678,11.7848,11.7699,11.2603,11.9148,11.6771,12.0255,12.3053,11.6432
BSU00910,12.394,12.3282,12.1235,11.6447,11.5381,11.7649,11.3353,11.3966,9.3627,9.7096,9.3843,9.6147,10.462,10.3581,10.7979,10.8817,10.3263
BSU00920,13.8501,13.8937,13.6769,13.4361,13.4274,13.518,13.3023,13.1907,11.689,11.7681,11.4535,11.5736,12.5431,12.2809,12.7199,12.8621,12.0467
new_112499_112799,13.3397,13.039,13.2735,12.9087,13.0004,13.0935,13.0517,13.0912,11.5952,11.5487,11.2078,11.4255,12.2962,12.104,12.3182,12.3426,11.6553
BSU00930,12.1015,11.8344,11.7833,11.5189,11.5152,11.6344,11.2959,11.3572,9.6249,9.7836,9.6253,9.8607,10.7332,10.6152,11.0359,10.9257,10.344
BSU00940,12.3941,12.075,11.9337,11.8085,11.6098,11.7947,11.4817,11.6196,9.7722,9.8238,9.6728,9.8977,10.913,10.5447,11.0794,11.1774,10.5434
BSU00950,12.864,12.526,12.4691,12.21,11.9723,12.0759,11.8774,11.9072,10.0401,10.3079,10.1257,10.4022,11.3625,11.0548,11.5999,11.6124,11.0524
BSU00960,12.8675,12.4941,12.3289,12.0678,11.922,12.0703,11.8665,11.8561,10.2809,10.3865,10.2113,10.4133,11.3789,11.0422,11.5722,11.2875,10.838
BSU00970,13.2019,12.797,12.7356,12.5256,12.2055,12.341,12.2,12.2637,10.5017,10.4947,10.2068,10.5158,11.4723,11.0831,11.5104,11.4427,10.906
BSU00980,15.1839,15.0636,15.0107,14.9228,14.85,14.6121,14.7484,14.5417,14.4266,14.5229,14.7117,14.7569,15.3887,15.3727,15.747,15.4192,14.9648
new_117257_117348,14.8553,14.4993,14.8288,14.4334,14.4368,14.4563,14.3588,14.5143,13.7367,14.1359,14.2765,14.0218,15.1017,14.8915,15.2989,15.2192,14.4177
