LBexp_1,LBexp_2,LBexp_3,LBstat_1,LBstat_2,LBstat_3,LBGexp_1,LBGexp_2,LBGexp_3,LBGstat_1,LBGstat_2,LBGstat_3,M9exp_1,M9exp_2,M9exp_3,M9stat_1,M9stat_2,M9stat_3
BSU00680,14.779,14.3791,14.1898,13.5478,12.9622,12.5143,14.6926,14.3613,14.6704,13.2541,12.885,13.2888,14.3603,14.02,13.8132,12.1883,11.3913,11.1166
new_76887_76983,14.9613,14.9933,14.8094,13.9898,13.8713,13.2996,15.1546,14.684,14.7681,13.7198,13.2851,13.3469,14.493,14.0549,13.9535,12.2309,11.4311,11.2829
BSU00690,15.9996,15.654,15.5224,14.7178,14.3994,14.3819,15.5719,15.5546,15.7452,15.0171,14.5892,14.3145,15.4416,15.0061,14.8829,12.6557,11.901,11.7714
new_78940_79025,11.5585,10.8289,10.5377,8.3961,8.1818,7.7594,11.8829,11.3174,11.2148,10.7555,9.4417,10.0016,10.3163,10.1302,9.6082,8.1563,8.1422,7.754
new_79027_79091,13.05,12.4919,11.9676,9.4771,8.8728,8.668,12.148,13.4841,13.0759,10.8369,9.7021,10.0766,12.1383,11.3988,11.6103,8.8768,8.2589,8.6694
BSU00700,13.1228,12.431,12.0648,9.4275,9.0951,8.8291,12.797,13.2645,12.8592,11.3398,10.1498,10.8504,12.167,11.7573,11.5922,9.0335,9.0956,8.7924
BSU00710,13.0294,12.4305,12.192,10.052,9.8825,9.6814,12.946,12.9005,12.859,11.8618,10.4727,11.1368,12.0197,11.6291,11.3897,8.905,8.824,8.4383
BSU00720,12.3805,12.2943,12.0288,10.7975,10.3996,10.2383,11.9721,12.5495,12.0368,10.4123,10.1031,11.1512,12.0365,11.6261,11.3559,9.75,9.8117,9.4571
BSU00730,13.3878,13.5746,13.2599,12.2005,11.7668,11.6552,12.9781,13.3378,12.9974,11.8086,10.9145,12.1289,14.7748,14.4877,14.1646,11.0512,11.1,10.6779
BSU00740,12.0438,12.0396,11.7929,10.937,10.5674,10.59,11.9495,12.1415,11.7437,11.8142,11.1599,11.2117,12.1139,11.7494,11.7052,10.3641,10.4361,10.2974
BSU00750,13.2626,13.1897,12.9321,12.5815,12.1986,12.183,13.0589,13.1077,13.0179,13.3219,13.0671,12.335,13.2213,12.9102,12.6723,11.5112,11.8696,11.725
BSU00760,13.1252,12.9141,12.7858,11.8047,11.4474,11.0777,12.7126,12.6115,12.6649,13.2959,12.785,12.3144,12.9721,12.5433,12.3443,10.6014,10.6817,10.4248
