Glu_1,Glu_2,Glu_3,GM-0.1_1,GM-0.2_1,GM+5_1,GM+15_1,GM+25_1,GM+45_1,GM+60_1,GM+90_1,GM+120_1,GM+150_1,GM-0.1_2,GM-0.2_2,GM+5_2,GM+10_2,GM+15_2,GM+25_2,GM+45_2,GM+60_2,GM+90_2,GM+150_2,GM-0.1_3,GM-0.2_3,GM+5_3,GM+10_3,GM+15_3,GM+25_3,GM+45_3,GM+60_3,GM+90_3,GM+120_3,GM+150_3
BSU00280,11.736,11.9497,11.7626,11.2665,11.1034,11.1001,11.4212,11.6611,11.6489,11.4725,11.7921,10.7735,11.0913,11.4058,11.7684,11.638,11.4749,11.2796,11.4644,10.5602,10.4997,11.5986,10.6523,11.6767,11.5321,11.6408,10.4104,11.2476,10.9676,10.5036,10.7643,11.3112,11.2407,11.4283
BSU00290,13.1074,13.137,12.9001,12.8046,12.738,12.6502,12.8329,13.1406,13.036,12.8513,13.0725,11.7985,12.6407,13.1282,13.3216,13.001,13.0032,12.6758,13.2904,12.0439,12.1151,12.7871,12.0659,13.2865,13.3167,13.0672,11.9635,12.8251,12.6244,12.0168,12.3229,12.7566,12.8189,12.7749
BSU00300,13.8365,13.9103,13.8276,13.1154,13.0511,13.1474,13.2526,13.8178,13.6649,13.5253,13.4644,12.5259,13.1543,13.888,14.1355,13.6661,13.5225,13.2755,13.6384,12.8136,12.8204,13.501,12.8481,13.8563,13.6367,13.7457,12.5581,13.3082,13.0227,12.466,12.6798,13.4872,13.0248,13.5732
BSU00310,13.3149,13.2291,13.4901,12.8359,12.8888,12.8175,12.9873,13.5311,13.2552,13.0129,13.2686,12.2302,12.7767,13.5778,13.5806,13.2431,12.9946,13.0621,13.2024,12.3168,12.2355,13.224,12.5101,13.5159,13.264,13.4616,12.213,13.0246,12.5572,12.7192,12.332,12.9359,12.8514,13.042
BSU00320,13.8271,13.7189,13.8002,13.2251,13.0487,12.9925,13.3946,13.8744,13.5177,13.5084,13.6184,12.565,13.2973,13.8646,13.7607,13.5185,13.4002,13.125,13.6774,12.4715,12.4283,13.6238,12.7914,13.9164,13.7022,13.6742,12.5647,13.2759,12.9923,12.7479,12.6623,13.1983,13.3089,13.3317
BSU00330,13.4576,13.5419,13.5846,12.785,13.079,12.8498,12.8227,13.9352,13.2451,13.485,13.2586,12.6289,12.9873,13.7693,13.0086,13.1345,13.0804,12.823,13.5162,12.4252,12.6471,13.8645,12.3667,13.3114,13.6695,13.4752,12.3896,13.0393,13.4587,13.1629,13.2116,12.8584,13.548,13.1731
BSU00340,11.8637,12.2551,12.0441,11.1887,11.0576,10.9119,11.39,11.8379,11.5774,11.3174,11.7207,10.857,11.1158,11.4924,11.6926,11.3401,11.2227,11.0139,11.3996,10.3025,10.4367,11.7198,10.4712,11.5305,11.635,11.6204,10.457,11.2955,10.9628,10.8943,10.6024,11.1882,11.5101,11.5204
BSU00350,12.2488,12.3845,12.312,11.5658,11.4974,11.4136,11.8709,12.2503,12.1447,11.9675,12.0887,11.2728,11.641,12.1034,12.3346,11.8272,11.5887,11.6899,11.9837,10.8651,10.971,12.0688,10.9582,12.0316,12.0003,12.019,10.8166,11.8202,11.364,10.8825,11.0531,11.8758,11.6183,12.0546
BSU00360,11.9216,11.9575,12.0144,11.2198,11.1427,10.9911,11.5201,11.9628,11.6894,11.622,11.7476,10.8163,11.3226,11.7345,11.8691,11.4443,11.3437,11.2427,11.6614,10.6905,10.6175,11.8567,10.4666,12.0073,11.5956,11.5804,10.4085,11.3177,11.0417,10.8092,10.8511,11.5039,11.6026,11.5138
BSU00370,13.8162,13.6636,13.9557,14.1334,13.953,13.9939,14.3063,14.4241,14.3547,13.9884,13.5823,11.4963,12.4498,14.3792,14.3169,14.3858,14.3971,14.5363,14.5298,13.0044,12.7208,12.5036,11.0735,14.2331,13.9885,14.2505,13.3182,14.2886,13.8362,13.2286,12.8806,12.6183,12.2157,12.0757
