SMMPr_1,SMMPr_2,SMMPr_3,LoTm_1,LoTm_2,LoTm_3,BMM_1,BMM_2,BMM_3,Cold_1,Cold_2,Cold_3
new_132763_132881,16.4602,16.4685,16.4203,16.3862,16.1089,16.3113,16.484,16.4506,16.4212,16.4181,16.4154,16.0954
BSU01130,16.0934,16.1831,16.4076,15.7438,15.5569,15.6369,16.3013,16.1913,16.3588,16.3036,16.0776,15.9659
BSU01140,9.6288,9.8208,9.9429,10.7509,10.4463,10.2467,10.6267,10.589,10.7425,10.9789,10.6255,10.2681
new_135170_135363,16.3311,16.369,16.3772,15.9831,15.8036,16.1193,16.4711,16.4568,16.3833,16.4672,16.0241,15.8353
BSU01150,16.3952,16.2683,16.4118,15.8868,15.86,15.6517,16.4681,16.4721,16.4549,16.476,16.1974,15.9175
BSU01160,15.6524,16.0376,15.6993,15.2992,15.2421,15.0861,16.2768,16.3031,16.2097,16.4286,16.1332,15.5237
BSU01170,16.4466,16.3383,16.4436,15.6569,15.8107,15.5989,16.4528,16.4732,16.3561,16.467,16.4231,16.3868
BSU01180,16.4108,16.3882,16.4408,15.5672,15.7585,15.7065,16.4682,16.4608,16.3895,16.4294,16.2103,15.9548
BSU01190,16.4873,16.46,16.4655,16.1055,16.1449,15.8427,16.492,16.4862,16.4599,16.4853,16.4525,16.331
BSU01200,16.4351,16.2848,16.4426,15.8866,15.95,15.8849,16.4382,16.4559,16.3249,16.4628,16.4321,16.164
BSU01210,16.0967,16.0771,16.0759,15.4819,15.4188,15.3489,16.4355,16.4258,15.9677,16.3599,16.2261,16.0611
BSU01220,15.9232,15.9002,16.011,15.3989,15.3044,15.1592,16.4776,16.4507,16.3025,16.4528,16.3783,16.2185
BSU01230,15.8478,15.8031,15.7892,15.4643,15.2945,15.1135,16.4377,16.37,16.1769,16.3224,16.1224,15.7501
BSU01240,16.0183,16.2843,16.3623,15.507,15.5494,15.2881,16.4646,16.3851,16.4303,16.4578,16.4211,16.0583
BSU01250,16.3171,16.278,16.4161,15.825,15.6239,15.6155,16.3943,16.2,16.4054,16.4496,16.4105,16.1679
BSU01260,15.941,16.2294,16.0718,15.758,15.5137,15.465,16.3674,16.3005,16.4269,16.3818,16.3671,16.2477
BSU01270,16.1185,16.2719,15.8453,15.5297,15.3939,15.3807,16.318,16.3436,16.2431,16.2043,16.3067,16.1922
BSU01280,15.6381,15.6318,15.8094,15.3757,15.3735,15.1025,16.3049,16.2853,16.231,16.3971,16.1467,15.8579
BSU01290,15.7949,15.9709,16.1278,15.576,15.3549,15.3137,16.4293,16.4267,16.4305,16.4445,16.3042,16.1187
BSU01300,16.1898,16.4091,16.019,16.1254,15.5576,15.8216,16.4486,16.4406,16.406,16.4455,16.3783,16.1487
BSU01310,15.7268,16.1221,16.1272,15.5455,15.2701,15.183,16.4083,16.4001,16.1639,16.3512,16.3903,16.1551
BSU01320,15.8207,16.0547,16.1114,15.5837,15.33,15.3842,16.4138,16.4117,16.0063,16.3406,16.3722,16.1305
BSU01330,15.7793,15.8268,16.2508,15.4202,15.4697,15.4174,16.3909,16.4468,16.3749,16.4537,16.3888,16.3428
BSU01340,16.2276,15.8797,16.3486,15.4879,15.624,15.371,16.4655,16.4522,16.4293,16.484,16.468,16.388
BSU01350,15.526,15.6911,16.0185,15.4904,15.2166,15.2038,16.2729,16.2077,16.2424,16.463,16.1189,15.7823
BSU01360,15.4752,15.6131,15.6699,15.3576,15.0584,15.1243,16.1609,16.1396,15.901,16.4316,16.1389,15.7399
BSU01370,15.8668,15.8456,15.9819,15.5243,15.6498,15.4321,16.248,16.2232,16.4008,16.4679,16.3692,15.9139
BSU01380,15.6102,15.6253,15.5297,15.2924,15.2416,15.1107,16.2526,15.7715,16.0023,16.3521,16.0184,15.4792
BSU01389,16.0132,16.3526,16.4006,16.1879,16.0572,15.8804,16.413,16.4607,16.4541,16.4485,16.4586,16.3304
BSU01390,15.9526,16.2592,16.4115,15.905,15.8773,15.7047,16.3989,16.4569,16.4207,16.4411,16.4551,16.4385
BSU01400,15.9104,16.137,16.2881,15.8269,15.6965,15.6615,16.4451,16.4555,16.4389,16.414,16.4462,16.4357
BSU01410,16.2371,16.3338,16.3723,16.0688,16.049,15.9815,16.4461,16.4626,16.4175,16.428,16.4274,16.3744
BSU01420,15.7818,15.934,16.0518,15.6226,15.5958,15.3784,16.4293,16.4403,16.1424,16.4367,16.4169,15.9211
new_148755_148930,15.6506,15.9253,16.185,15.6129,15.5508,15.2986,16.296,16.2116,16.0203,16.4444,16.3036,15.702
BSU01430,16.0793,16.1223,16.1951,15.9704,15.6547,15.5053,16.3514,16.416,16.3686,16.4545,16.2924,16.0917
BSU01440,16.2079,16.2765,16.3643,15.9826,15.7536,15.5583,16.4485,16.4034,16.456,16.478,16.4446,16.366
new_150362_150442,12.6095,12.3317,12.3628,13.3618,12.953,13.3149,14.1498,13.9397,13.7103,15.7891,15.4152,15.387
BSU01450,11.5238,11.3364,11.5794,12.2808,12.0964,12.1096,13.0584,12.753,12.7835,15.1233,14.2719,13.6751
BSU01460,11.678,11.4457,11.4532,12.3171,11.9669,11.9611,12.9323,12.6026,12.4482,15.2156,14.5243,13.6136
